Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: aaaaaaaaaaaabbbbbbbbbbbbbbbbbb
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: aaaaaaaaaaaabbbbbbbbbbbbbbbbbb
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: aaaaaaaaaaaabbbbbbbbbbbbbbbbbb
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: aaaaaaaaaaaabbbbbbbbbbbbbbbbbb
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
Match: False Infix: a.b.c* String: a
Match: True Infix: a.b.c* String: ab
Match: True Infix: a.b.c* String: abc
Match: False Infix: a.b.c* String: abbc
Match: True Infix: a.b.c* String: abcc
Match: False Infix: a.b.c* String: abad
Match: False Infix: a.b.c* String: abbbc
Match: False Infix: a.b.c* String: abcd
Match: False Infix: a.b.c* String: abbbb
Match: False Infix: a.b.c* String: ac
Match: False Infix: a.b.c* String: 
